=== AHC 066 Comparison Report ===
Code A: temp.cpp
Code B: A_submit.cpp
------------------------------------------------------------
【ケース別結果】
Case 0108.txt | A:     95 [完走] (0.21s) | B:     95 [完走] (0.21s) | 引き分け (差: 0)
Case 0109.txt | A:    100 [完走] (0.22s) | B:    100 [完走] (0.22s) | 引き分け (差: 0)
Case 0110.txt | A:    115 [完走] (0.26s) | B:    115 [完走] (0.25s) | 引き分け (差: 0)
Case 0111.txt | A:    236 [完走] (0.48s) | B:    236 [完走] (0.53s) | 引き分け (差: 0)
Case 0112.txt | A:     91 [完走] (0.21s) | B:     91 [完走] (0.24s) | 引き分け (差: 0)
Case 0113.txt | A:     97 [完走] (0.23s) | B:     97 [完走] (0.21s) | 引き分け (差: 0)
Case 0114.txt | A:    242 [完走] (0.54s) | B:    242 [完走] (0.53s) | 引き分け (差: 0)
Case 0115.txt | A:    194 [完走] (0.43s) | B:    194 [完走] (0.42s) | 引き分け (差: 0)
Case 0116.txt | A:    246 [完走] (0.53s) | B:    246 [完走] (0.52s) | 引き分け (差: 0)
Case 0117.txt | A:    175 [完走] (0.34s) | B:    175 [完走] (0.34s) | 引き分け (差: 0)
Case 0118.txt | A:    217 [完走] (0.44s) | B:    217 [完走] (0.43s) | 引き分け (差: 0)
Case 0119.txt | A:    115 [完走] (0.25s) | B:    115 [完走] (0.26s) | 引き分け (差: 0)
Case 0120.txt | A:    337 [完走] (0.67s) | B:    337 [完走] (0.66s) | 引き分け (差: 0)
Case 0121.txt | A:     76 [完走] (0.17s) | B:     76 [完走] (0.17s) | 引き分け (差: 0)
Case 0122.txt | A:     77 [完走] (0.17s) | B:     77 [完走] (0.16s) | 引き分け (差: 0)
Case 0123.txt | A:    100 [完走] (0.23s) | B:    100 [完走] (0.23s) | 引き分け (差: 0)
Case 0124.txt | A:    122 [完走] (0.26s) | B:    122 [完走] (0.26s) | 引き分け (差: 0)
Case 0125.txt | A:    137 [完走] (0.28s) | B:    137 [完走] (0.28s) | 引き分け (差: 0)
Case 0126.txt | A:    374 [完走] (0.70s) | B:    374 [完走] (0.70s) | 引き分け (差: 0)
Case 0127.txt | A:    508 [代替] (0.66s) | B:    590 [代替] (0.64s) | A 勝利 (差: 82)
Case 0128.txt | A:    126 [完走] (0.32s) | B:    126 [完走] (0.31s) | 引き分け (差: 0)
Case 0129.txt | A:    222 [完走] (0.50s) | B:    222 [完走] (0.50s) | 引き分け (差: 0)
Case 0130.txt | A:  1,068 [代替] (1.12s) | B:  1,276 [代替] (1.12s) | A 勝利 (差: 208)
Case 0131.txt | A:    186 [完走] (0.36s) | B:    186 [完走] (0.36s) | 引き分け (差: 0)
Case 0132.txt | A:    297 [完走] (0.62s) | B:    297 [完走] (0.56s) | 引き分け (差: 0)
Case 0133.txt | A:    234 [完走] (0.47s) | B:    234 [完走] (0.47s) | 引き分け (差: 0)
Case 0134.txt | A:    172 [完走] (0.33s) | B:    172 [完走] (0.34s) | 引き分け (差: 0)
Case 0135.txt | A:    640 [代替] (0.72s) | B:    770 [代替] (0.74s) | A 勝利 (差: 130)
Case 0136.txt | A:    416 [完走] (0.84s) | B:    416 [完走] (0.86s) | 引き分け (差: 0)
Case 0137.txt | A:    300 [完走] (0.64s) | B:    300 [完走] (0.67s) | 引き分け (差: 0)
Case 0138.txt | A:    426 [完走] (0.82s) | B:    426 [完走] (0.81s) | 引き分け (差: 0)
Case 0139.txt | A:    166 [完走] (0.34s) | B:    166 [完走] (0.34s) | 引き分け (差: 0)
Case 0140.txt | A:    360 [完走] (0.83s) | B:    360 [完走] (0.79s) | 引き分け (差: 0)
Case 0141.txt | A:     81 [完走] (0.20s) | B:     81 [完走] (0.18s) | 引き分け (差: 0)
Case 0142.txt | A:    121 [完走] (0.27s) | B:    121 [完走] (0.27s) | 引き分け (差: 0)
Case 0143.txt | A:    226 [完走] (0.53s) | B:    226 [完走] (0.51s) | 引き分け (差: 0)
Case 0144.txt | A:    125 [完走] (0.26s) | B:    125 [完走] (0.26s) | 引き分け (差: 0)
Case 0145.txt | A:    116 [完走] (0.23s) | B:    116 [完走] (0.23s) | 引き分け (差: 0)
Case 0146.txt | A:    137 [完走] (0.31s) | B:    137 [完走] (0.29s) | 引き分け (差: 0)
Case 0147.txt | A:    337 [完走] (0.67s) | B:    337 [完走] (0.72s) | 引き分け (差: 0)
Case 0148.txt | A:    100 [完走] (0.22s) | B:    100 [完走] (0.22s) | 引き分け (差: 0)
Case 0149.txt | A:     61 [完走] (0.14s) | B:     61 [完走] (0.13s) | 引き分け (差: 0)
Case 0150.txt | A:    201 [完走] (0.43s) | B:    201 [完走] (0.44s) | 引き分け (差: 0)
Case 0151.txt | A:    154 [完走] (0.33s) | B:    154 [完走] (0.31s) | 引き分け (差: 0)
Case 0152.txt | A:    306 [完走] (0.65s) | B:    306 [完走] (0.64s) | 引き分け (差: 0)
Case 0153.txt | A:    303 [完走] (0.69s) | B:    303 [完走] (0.70s) | 引き分け (差: 0)
Case 0154.txt | A:    113 [完走] (0.25s) | B:    113 [完走] (0.25s) | 引き分け (差: 0)
Case 0155.txt | A:    216 [完走] (0.46s) | B:    216 [完走] (0.45s) | 引き分け (差: 0)
Case 0156.txt | A:    103 [完走] (0.22s) | B:    103 [完走] (0.22s) | 引き分け (差: 0)
Case 0157.txt | A:    217 [完走] (0.46s) | B:    217 [完走] (0.45s) | 引き分け (差: 0)
Case 0158.txt | A:    410 [完走] (0.88s) | B:    410 [完走] (0.86s) | 引き分け (差: 0)
Case 0159.txt | A:    181 [完走] (0.39s) | B:    181 [完走] (0.40s) | 引き分け (差: 0)
Case 0160.txt | A:    239 [完走] (0.50s) | B:    239 [完走] (0.51s) | 引き分け (差: 0)
Case 0161.txt | A:    282 [完走] (0.61s) | B:    282 [完走] (0.59s) | 引き分け (差: 0)
Case 0162.txt | A:    255 [完走] (0.53s) | B:    255 [完走] (0.54s) | 引き分け (差: 0)
Case 0163.txt | A:    212 [完走] (0.45s) | B:    212 [完走] (0.43s) | 引き分け (差: 0)
Case 0164.txt | A:     75 [完走] (0.17s) | B:     75 [完走] (0.17s) | 引き分け (差: 0)
Case 0165.txt | A:    208 [完走] (0.45s) | B:    208 [完走] (0.43s) | 引き分け (差: 0)
Case 0166.txt | A:     69 [完走] (0.14s) | B:     69 [完走] (0.15s) | 引き分け (差: 0)
Case 0167.txt | A:    240 [代替] (0.30s) | B:    328 [代替] (0.29s) | A 勝利 (差: 88)
Case 0168.txt | A:    388 [完走] (0.81s) | B:    388 [完走] (0.79s) | 引き分け (差: 0)
Case 0169.txt | A:    410 [代替] (0.33s) | B:    527 [代替] (0.33s) | A 勝利 (差: 117)
Case 0170.txt | A:    126 [完走] (0.27s) | B:    126 [完走] (0.27s) | 引き分け (差: 0)
Case 0171.txt | A:    158 [完走] (0.34s) | B:    158 [完走] (0.33s) | 引き分け (差: 0)
Case 0172.txt | A:    115 [完走] (0.26s) | B:    115 [完走] (0.26s) | 引き分け (差: 0)
Case 0173.txt | A:    235 [完走] (0.46s) | B:    235 [完走] (0.49s) | 引き分け (差: 0)
Case 0174.txt | A:    505 [完走] (1.07s) | B:    505 [完走] (1.04s) | 引き分け (差: 0)
Case 0175.txt | A:    120 [完走] (0.27s) | B:    120 [完走] (0.27s) | 引き分け (差: 0)
Case 0176.txt | A:     93 [完走] (0.21s) | B:     93 [完走] (0.20s) | 引き分け (差: 0)
Case 0177.txt | A:    425 [完走] (0.77s) | B:    425 [完走] (0.77s) | 引き分け (差: 0)
Case 0178.txt | A:    116 [完走] (0.24s) | B:    116 [完走] (0.23s) | 引き分け (差: 0)
Case 0179.txt | A:    182 [完走] (0.39s) | B:    182 [完走] (0.39s) | 引き分け (差: 0)
Case 0180.txt | A:    104 [完走] (0.23s) | B:    104 [完走] (0.22s) | 引き分け (差: 0)
Case 0181.txt | A:    686 [代替] (0.72s) | B:    806 [代替] (0.72s) | A 勝利 (差: 120)
Case 0182.txt | A:    126 [完走] (0.27s) | B:    126 [完走] (0.28s) | 引き分け (差: 0)
Case 0183.txt | A:     87 [完走] (0.19s) | B:     87 [完走] (0.19s) | 引き分け (差: 0)
Case 0184.txt | A:    123 [完走] (0.28s) | B:    123 [完走] (0.27s) | 引き分け (差: 0)
Case 0185.txt | A:     74 [完走] (0.17s) | B:     74 [完走] (0.16s) | 引き分け (差: 0)
Case 0186.txt | A:    180 [完走] (0.37s) | B:    180 [完走] (0.37s) | 引き分け (差: 0)
Case 0187.txt | A:    177 [完走] (0.36s) | B:    177 [完走] (0.36s) | 引き分け (差: 0)
Case 0188.txt | A:    113 [完走] (0.25s) | B:    113 [完走] (0.24s) | 引き分け (差: 0)
Case 0189.txt | A:    185 [完走] (0.40s) | B:    185 [完走] (0.39s) | 引き分け (差: 0)
Case 0190.txt | A:    219 [完走] (0.42s) | B:    219 [完走] (0.43s) | 引き分け (差: 0)
Case 0191.txt | A:    350 [完走] (0.76s) | B:    350 [完走] (0.75s) | 引き分け (差: 0)
Case 0192.txt | A:    149 [完走] (0.31s) | B:    149 [完走] (0.31s) | 引き分け (差: 0)
Case 0193.txt | A:    149 [完走] (0.32s) | B:    149 [完走] (0.33s) | 引き分け (差: 0)
Case 0194.txt | A:    191 [完走] (0.41s) | B:    191 [完走] (0.38s) | 引き分け (差: 0)
Case 0195.txt | A:    167 [完走] (0.36s) | B:    167 [完走] (0.35s) | 引き分け (差: 0)
Case 0196.txt | A:     69 [完走] (0.16s) | B:     69 [完走] (0.15s) | 引き分け (差: 0)
Case 0197.txt | A:    157 [完走] (0.33s) | B:    157 [完走] (0.32s) | 引き分け (差: 0)
Case 0198.txt | A:    410 [完走] (0.77s) | B:    410 [完走] (0.76s) | 引き分け (差: 0)
Case 0199.txt | A:    139 [完走] (0.29s) | B:    139 [完走] (0.28s) | 引き分け (差: 0)
Case 0200.txt | A:    493 [代替] (0.57s) | B:    625 [代替] (0.55s) | A 勝利 (差: 132)
Case 0201.txt | A:    287 [完走] (0.59s) | B:    287 [完走] (0.57s) | 引き分け (差: 0)
Case 0202.txt | A:    117 [完走] (0.26s) | B:    117 [完走] (0.24s) | 引き分け (差: 0)
Case 0203.txt | A:    195 [完走] (0.41s) | B:    195 [完走] (0.41s) | 引き分け (差: 0)
Case 0204.txt | A:     74 [完走] (0.17s) | B:     74 [完走] (0.17s) | 引き分け (差: 0)
Case 0205.txt | A:    111 [完走] (0.24s) | B:    111 [完走] (0.24s) | 引き分け (差: 0)
Case 0206.txt | A:    182 [完走] (0.39s) | B:    182 [完走] (0.40s) | 引き分け (差: 0)
Case 0207.txt | A:    237 [完走] (0.50s) | B:    237 [完走] (0.49s) | 引き分け (差: 0)
Case 0208.txt | A:     71 [完走] (0.16s) | B:     71 [完走] (0.16s) | 引き分け (差: 0)
Case 0209.txt | A:    368 [完走] (0.81s) | B:    368 [完走] (0.79s) | 引き分け (差: 0)
Case 0210.txt | A:    232 [完走] (0.52s) | B:    232 [完走] (0.51s) | 引き分け (差: 0)
Case 0211.txt | A:    667 [完走] (1.28s) | B:    667 [完走] (1.30s) | 引き分け (差: 0)
Case 0212.txt | A:     65 [完走] (0.16s) | B:     65 [完走] (0.16s) | 引き分け (差: 0)
Case 0213.txt | A:    304 [完走] (0.65s) | B:    304 [完走] (0.63s) | 引き分け (差: 0)
