### seed:53 ###

=== [Phase 1] Probe Start (0.3s) ===
Probe Result : Failed (Time out or Dead End)
Difficulty   : HARD
====================================

=== [Phase 2] Main Search Start ===
Trial 64 | Beam: 12 | Noise: 1011 | Pen: 3 | Trn: 220 | Bte: 470 | Grb: 57 | Time: 10ms | Nodes: 3507 | Result: Failed [Early Stopped (Stuck)] (Turn: 124, Matched: 23/192, Garbage: 0)
Trial 65 | Beam: 45 | Noise: 1147 | Pen: 3 | Trn: 238 | Bte: 157 | Grb: 63 | Time: 42ms | Nodes: 25611 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 24/192, Garbage: 0)
Trial 66 | Beam: 24 | Noise: 1868 | Pen: 2 | Trn: 248 | Bte: 390 | Grb: 87 | Time: 72ms | Nodes: 21901 | Result: Failed [Early Stopped (Stuck)] (Turn: 36, Matched: 18/192, Garbage: 0)
Trial 67 | Beam: 14 | Noise: 1703 | Pen: 1 | Trn: 224 | Bte: 472 | Grb: 6 | Time: 11ms | Nodes: 9704 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 68 | Beam: 48 | Noise: 1817 | Pen: 3 | Trn: 181 | Bte: 397 | Grb: 89 | Time: 157ms | Nodes: 65686 | Result: Failed [Early Stopped (Stuck)] (Turn: 1044, Matched: 42/192, Garbage: 0)
Trial 69 | Beam: 49 | Noise: 1460 | Pen: 3 | Trn: 292 | Bte: 255 | Grb: 82 | Time: 47ms | Nodes: 30268 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 70 | Beam: 39 | Noise: 531 | Pen: 1 | Trn: 180 | Bte: 297 | Grb: 73 | Time: 38ms | Nodes: 26638 | Result: Failed [Early Stopped (Stuck)] (Turn: 77, Matched: 24/192, Garbage: 0)
Trial 71 | Beam: 23 | Noise: 572 | Pen: 3 | Trn: 243 | Bte: 28 | Grb: 69 | Time: 20ms | Nodes: 8781 | Result: Failed [Early Stopped (Stuck)] (Turn: 46, Matched: 24/192, Garbage: 1)
Trial 72 | Beam: 49 | Noise: 1898 | Pen: 2 | Trn: 224 | Bte: 390 | Grb: 86 | Time: 49ms | Nodes: 34476 | Result: Failed [Early Stopped (Stuck)] (Turn: 81, Matched: 24/192, Garbage: 0)
Trial 73 | Beam: 48 | Noise: 1214 | Pen: 3 | Trn: 119 | Bte: 273 | Grb: 79 | Time: 46ms | Nodes: 30456 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 74 | Beam: 42 | Noise: 642 | Pen: 1 | Trn: 87 | Bte: 82 | Grb: 76 | Time: 84ms | Nodes: 40221 | Result: Failed [Early Stopped (Stuck)] (Turn: 757, Matched: 28/192, Garbage: 0)
Trial 75 | Beam: 35 | Noise: 1302 | Pen: 2 | Trn: 199 | Bte: 294 | Grb: 64 | Time: 195ms | Nodes: 135052 | Result: 4773 moves
Trial 76 | Beam: 43 | Noise: 828 | Pen: 3 | Trn: 281 | Bte: 162 | Grb: 32 | Time: 40ms | Nodes: 23334 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 77 | Beam: 39 | Noise: 1194 | Pen: 3 | Trn: 86 | Bte: 220 | Grb: 22 | Time: 61ms | Nodes: 29448 | Result: Failed [Early Stopped (Stuck)] (Turn: 40, Matched: 20/192, Garbage: 0)
Trial 78 | Beam: 36 | Noise: 1061 | Pen: 1 | Trn: 280 | Bte: 66 | Grb: 83 | Time: 121ms | Nodes: 20260 | Result: Failed [Early Stopped (Stuck)] (Turn: 30, Matched: 18/192, Garbage: 0)
Trial 79 | Beam: 13 | Noise: 1559 | Pen: 1 | Trn: 39 | Bte: 396 | Grb: 69 | Time: 13ms | Nodes: 10260 | Result: Failed [Early Stopped (Stuck)] (Turn: 21, Matched: 10/192, Garbage: 0)
Trial 80 | Beam: 45 | Noise: 1764 | Pen: 2 | Trn: 286 | Bte: 19 | Grb: 28 | Time: 92ms | Nodes: 46839 | Result: Failed [Early Stopped (Stuck)] (Turn: 1261, Matched: 28/192, Garbage: 1)
Trial 81 | Beam: 47 | Noise: 1659 | Pen: 1 | Trn: 91 | Bte: 334 | Grb: 54 | Time: 61ms | Nodes: 34640 | Result: Failed [Early Stopped (Stuck)] (Turn: 553, Matched: 24/192, Garbage: 0)
Trial 82 | Beam: 24 | Noise: 1416 | Pen: 2 | Trn: 104 | Bte: 61 | Grb: 88 | Time: 32ms | Nodes: 13785 | Result: Failed [Early Stopped (Stuck)] (Turn: 33, Matched: 20/192, Garbage: 0)
Trial 83 | Beam: 27 | Noise: 887 | Pen: 2 | Trn: 27 | Bte: 138 | Grb: 4 | Time: 141ms | Nodes: 96840 | Result: 4457 moves
